output_id,case_id,model_name,error_type,severity,error_description,correction,optimization_action
1,CM-001,Model_A_baseline,风险遗漏,高,回答没有计算各项比例，未说明控制权变更和审议程序。,补充计算各项比例并说明重大资产重组标准。,针对重大资产重组任务增加财务指标计算示例。
4,FD-001,Model_A_baseline,可执行性弱,中,未提出具体核查材料或程序。,列出合同、发票、银行流水等具体核查资料。,提供收入核查清单和核查步骤。
7,FD-002,Model_A_baseline,风险遗漏,中,未提及可变现净值和跌价准备的计算。,说明成本与可变现净值比较及减值测试。,在案例中加入跌价准备计算模板。
10,LD-001,Model_A_baseline,依据错误,中,未明确法律规定对知识产权出资的要求。,引用法律允许知识产权作价但需评估并登记。,提供股权出资方式和法律要求对照表。
13,MED-001,Model_A_baseline,推理不足,低,简单指出样本少，缺乏对试验目的和设计的说明。,说明I期目的、主要终点和局限。,增加临床试验分期和指标解读的说明。
2,CM-001,Model_B_rag,表达问题,低,表述略显机械，缺乏审慎语气。,使用投行报告口吻，强调谨慎判断。,优化模型提示词加强审慎表达。
5,FD-001,Model_B_rag,场景错配,低,没有针对客户集中度提出风险提示。,补充客户集中度与关联交易风险。,在数据样本中加入客户集中度分析。
8,FD-002,Model_B_rag,可执行性弱,低,缺少具体盘点和市场价格调查步骤。,列举盘点记录、市场调查等核查动作。,提供盘点流程示例。
16,FD-003,Model_A_baseline,推理不足,中,未拆解成本与产品结构即推断虚增，推理链条不完整。,补充毛利率分解与成本结转分析步骤。,补充含分步毛利率拆解的优秀回答样本。
19,FD-004,Model_A_baseline,可执行性弱,中,仅给出加强催收的笼统建议，缺少账龄与期后回款核查步骤。,补充应收账款核查清单与操作步骤。,为应收账款类任务提供核查清单模板样本。
22,FD-005,Model_A_baseline,风险遗漏,中,未做利润与现金流勾稽，遗漏营运资金占用这一关键分析。,补充利润到现金流勾稽与营运资金分析。,补充含勾稽分析的优秀回答样本。
25,FD-006,Model_A_baseline,风险遗漏,高,将无商业背景的大额关联方占用直接认定为正常往来，遗漏利益输送风险。,补充关联方占用与利益输送的核查要点。,补充含关联方资金占用核查的风险样本。
28,LD-002,Model_A_baseline,依据错误,中,"在未审阅违约与排他条款的情况下认定合同为利好,依据不足。",补充重大合同核心条款的逐条审阅依据。,引入重大合同条款审阅范式与对照样本。
31,LD-003,Model_A_baseline,场景错配,中,"套用关联交易普遍合规的一般经验,忽略本题定价依据不足的场景。",补充关联交易公允性与披露的场景化判断。,增加关联交易跨场景边界对比样本。
34,LD-004,Model_A_baseline,风险遗漏,中,"仅按持股比例认定控制权,遗漏表决权安排与控制权变更触发的程序义务。",补充控制权综合认定与触发义务的核查要点。,补充控制权认定多要素对照样本。
37,CM-002,Model_A_baseline,推理不足,中,"未分析承诺可实现性与补偿可执行性即认定有保障,推理不足。",补充业绩承诺与补偿条款的分步评估。,补充含承诺可实现性分析的优秀回答样本。
38,CM-002,Model_B_rag,表达问题,低,"结论与依据混排,关键风险点未结构化呈现。",规范结论、依据与风险的结构化表达。,提供结构化专业表达范式样本。
40,CM-003,Model_A_baseline,可执行性弱,中,"未给出可操作的核查与披露改进项,评估停留在表层。",补充问询回复质量评估清单与改进项。,提供 IPO 问询回复评估清单模板样本。
43,MA-001,Model_A_baseline,风险遗漏,高,"在权属证照与抵押查封未核实下认定权属完整,遗漏交割关键风险。",补充标的资产权属与权利负担核查要点。,补充含资产权属核查的并购风险样本。
44,MA-001,Model_B_rag,依据错误,低,对专利有效性的判断缺少缴费与权属归属依据。,补充专利权属与有效性核查依据。,引入专利权属核查的对照样本。
